"row_id","vt_surname","vt_name","name_raw","district","match_score","match_quality","census_id"
475,"JOUBERT","JOSUA","Joubert, Josua","Cradock",0.838,"Fair",2129
254,"DELPORT","JACOBUS PETRUS","Delport, Jacobus Petrus","Cradock",0.976,"Good",2130
512,"KRUGER","DANIEL FREDERIK SR","Kruger, Daniel Fredrik","Cradock",0.89,"Fair",2132
1183,"VILJOEN","WILLEM WOUTER","Viljoen, Willem Wouter","Cradock",0.986,"Good",2156
1184,"VILJOEN","JAN ALBERTUS","Viljoen, Jan Albertus","Cradock",0.916,"Good",2157
679,"OPPERMAN","PHILIPPUS ALBERTUS","Opperman, Philippus Albertus","Cradock",0.978,"Good",2166
681,"OPPERMAN","DANIËL JACOBUS","Opperman, Daniel Jacobus","Cradock",0.864,"Fair",2172
1208,"VOSLOO","GERHARDUS JOHANNES","Vosloo, Gerhardus Johannes","Cradock",0.884,"Fair",2174
379,"GREYLING","JOHANNES ARNOLDUS","Greyling, Johannes Arnoldus","Cradock",0.898,"Fair",2194
487,"KLOPPER","JOHANNES FREDERIK","Klopper, Johannes Fredrik","Cradock",0.856,"Fair",2196
776,"PRINSLOO","JOHANNES","Prinsloo, Johannes","Cradock",0.968,"Good",2200
775,"PRINSLOO","MARTHINUS","Prinsloo, Marthinus","Cradock",0.952,"Good",2201
770,"PRINSLOO","WILLEM MARTHINUS","Prinsloo, Willem Marthinus","Cradock",0.924,"Good",2202
771,"PRINSLOO","PIETER WILLEM","Prinsloo, Pieter Willem","Cradock",0.966,"Good",2205
784,"PRINSLOO","MARTHINUS LOURENS","Prinsloo, Marthinus Lourens","Cradock",0.944,"Good",2211
779,"PRINSLOO","JOACHIM JOHANNES","Prinsloo, Joachim Johannes","Cradock",0.966,"Good",2213
785,"PRINSLOO","WILLEM PETRUS","Prinsloo, Willem Petrus","Cradock",0.924,"Good",2215
326,"ERASMUS","ANTONIE PHILIPPUS","Erasmus, Anthonie Philippus","Cradock",0.948,"Good",2220
327,"ERASMUS","BALTHASAR JOHANNES","Erasmus, Balthazar Johannes","Cradock",0.948,"Good",2222
332,"ERASMUS","LOURENS JOHANNES","Erasmus, Lourens Johannes","Cradock",0.942,"Good",2223
331,"ERASMUS","JACOB","Erasmus, Jacob","Cradock",0.908,"Good",2224
324,"ERASMUS","DANIEL JACOBUS","Erasmus, Daniel Jacobus","Cradock",0.974,"Good",2233
232,"DE LANGE","BAREND JACOBUS","de Lange, Barend Jacobus","Cradock",0.956,"Good",2234
773,"PRINSLOO","WILLEM JACOBUS","Prinsloo, Willem Jacobus","Cradock",0.924,"Good",2235
360,"FOURIE","PETRUS JOHANNES","Fourie, Petrus Johannes","Cradock",0.984,"Good",2236
257,"DREYER","ROELOF PETRUS GERHARDUS","Dreyer, Roelof Petrus Gerhardus","Cradock",0.978,"Good",2242
890,"SNYMAN","NICOLAAS","Snyman, Nicolaas","Cradock",0.984,"Good",2245
104,"BOTHMA","ABRAHAM CAREL","Bothma, Abraham Carel","Cradock",0.884,"Fair",2259
1017,"VAN DER MERWE","JOHANNES PETRUS","van der Merwe, Johannes Petrus","Cradock",0.842,"Fair",2310
955,"SWART","GERHARDUS JACOBUS","Swart, Gerhardus Jacobus","Cradock",0.926,"Good",2347
250,"DE WINNAAR","CAREL STEPHANUS","de Winnaar, Carel Stephanus","Cradock",0.95,"Good",2381
249,"DE WINNAAR","JAN HENDRIK","de Winnaar, Jan Hendrik","Cradock",0.95,"Good",2388
1147,"VENTER","PETRUS JAN HENDRIK","Venter, Petrus Jan Hendrik","Cradock",0.882,"Fair",2409
973,"VAN ASWEGEN","HENDRIK ABRAHAM","van Aswegen, Hendrik Abraham","Cradock",0.9,"Good",2425
687,"PELZER","ABRAHAM JOHANNES","Pelzer, Abraham Johannes","Cradock",0.996,"Good",2429
234,"DE LANGE","ADRIAAN","de Lange, Adriaan","Cradock",0.96,"Good",2444
1118,"VAN TONDER","WILLEM MARTHINUS","van Tonder, Willem Marthinus","Cradock",0.972,"Good",2454
597,"MEYER","JACOBUS JOHANNES PHILLIPPUS","Meyer, Jacobus Johannes Philippus","George",0.914,"Good",3532
893,"SNYMAN","GERRIT CHRISTOFFEL","Snyman, Gert Christoffel","George",0.804,"Fair",3844
841,"SCHEEPERS","JACOBUS JOHANNES","Scheepers, Jacobus Johannes","George",0.99,"Good",3851
840,"SCHEEPERS","GIDEON","Scheepers, Gidion","George",0.85,"Fair",3852
587,"MARNEWECK","JOHAN COENRAAD","Marneweck, Johannes","George",0.838,"Fair",3860
859,"SCHOEMAN","FREDERIK STEPHANUS","Schoeman, Fredrik Stephanus","George",0.962,"Good",3873
861,"SCHOEMAN","STEPHANUS JOHANNES","Schoeman, Stephanus Johannes","George",0.982,"Good",3875
654,"NEL","PIETER WILLEM ADRIAAN","Nel, Pieter Willem Andries","George",0.858,"Fair",3878
79,"BOTHA","PETRUS JOHANNES","Botha, Petrus Johannes","George",0.914,"Good",3887
80,"BOTHA","WILLEM ADRIAAN","Botha, Willem Adriaan","George",0.9,"Good",3904
1219,"WOLMARANS","FREDERIK GERHARDUS","Wolmarans, Fredrik Gerhardus","George",0.916,"Good",3949
132,"BRITS","WILLEM","Brits, Willem Petrus","Graaff-Reinet",0.768,"Good",4050
692,"PIENAAR","JACOB ARNOLDUS","Pienaar, Jacob Arnoldus","Graaff-Reinet",0.928,"Excellent",4140
516,"KRUGER","GERRIT JOHANNES","Kruger, Gert Johannes","Graaff-Reinet",0.9,"Excellent",4203
515,"KRUGER","STEPHANUS JOHANNES","Kruger, Stephanus Johannes","Graaff-Reinet",0.942,"Excellent",4205
118,"BREED","PETRUS","Breed, Petrus","Graaff-Reinet",0.764,"Good",4212
120,"BREED","WILLEM STERRENBERG","Breed, Willem Herzenberg","Graaff-Reinet",0.728,"Good",4214
504,"KOTZE","JACOBUS JOHANNES JURGEN","Kotze, Jacobus Johannes Jurgen","Graaff-Reinet",0.924,"Excellent",4249
592,"MEINTJES","SCHALK WILLEM","Meintjes, Schalk Willem","Graaff-Reinet",0.932,"Excellent",4252
950,"SWANEPOEL","JACOBUS (ROOI KOOS)","Swanepoel, Jacobus","Graaff-Reinet",0.73,"Good",4341
993,"VAN DER MERWE","JOHANNES LODEVICUS","v. d. Merwe, Johannes Lodewicus","Graaff-Reinet",0.758,"Good",4342
180,"COMBRINK","PHILLIPPUS WILHELMUS","Combrink, Ph. Wilhelmus","Graaff-Reinet",0.652,"Fair",4345
181,"COMBRINK","JAN FREDERIK JOHANNES","Combrink, Jan Frederik Johannes","Graaff-Reinet",0.996,"Good",4360
545,"LIEBENBERG","BAREND JOHANNES SR.","Liebenberg, Barend Johannes","Graaff-Reinet",0.732,"Good",4381
203,"DE BEER","SAMUEL JACOBUS SR","De Beer, Samuel Jacobus","Graaff-Reinet",0.968,"Excellent",4384
